Status,Name,Ort,Webseite,Twitterhandle,Akteurstyp,Experimentierfelder
Inaktiv,EventSpace,München,https://eventspace.es,@seadow,Project,"Technology, Audience Relationship"
Aktiv,Business News Platform,Düsseldorf,https://newsinitiative.withgoogle.com/dnifund/dni-projects/business-news-platform/,@handelsblatt,Project,Technology
Aktiv,C-POP,Berlin,"https://innovation.dpa.com/2019/03/21/story-driven-reader-c-pop-newsflow-agencies-publishers/, https://innovation.dpa.com/2019/03/21/agenturen-verlage-c-pop-kooperation/, https://dpa.com",@dpa,Project,Technology
Aktiv,Campfire Festival,Düsseldorf,https://campfirefestival.org/,@campfire_fest,Project,Audience Relationship
Aktiv,Conversational News,Halle,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/conversational-news/, https://www.informatik.uni-halle.de/arbeitsgruppen/big_data_analytics/",@matthias_hagen,Project,Technology
https://orange.handelsblatt.com",,Project,Technology
Aktiv,Dekoder,Hamburg,https://dekoder.org,@dekoder_org,Project,Content
Aktiv,Digger - Deepfake Detection,Bonn,https://digger-project.com/,@DeepfakeDigger,Project,Technology
Aktiv,docupy,Köln,www1.wdr.de/fernsehen/docupy,@docupy,Project,Content
@bauerxcel (gelöscht)",Project,Technology
Aktiv,F.A.Z. Personalisation: Content layers for a regional focus,Frankfurt,https://newsinitiative.withgoogle.com/dnifund/dni-projects/FAZ-personalisation/,@faznet,Project,Technology
Aktiv,Follow the Grant,Berlin,https://www.followthegrant.org/,@hristio,Project,"Content, Technology"
Aktiv,Social Score,Berlin,https://socialscore.eu/,@studio_sansho,Project,"Technology, Content, Audience Relationship"
 aschendorff.de/",,Project,"Technology, Content"
Inaktiv,Jornu,München,https://jornu.com/,@jornuDE,Project,"Audience Relationship, Technology"
https://contentflow.net/",,Project,Technology
Aktiv,Linius,Berlin,http://linius-storytelling.de/,,Project,"Technology, Content"
@tapulator",Project,Content
Aktiv,My Country Talks,Hamburg,https://www.mycountrytalks.org,,Project,"Content, Audience Relationship, Organizational Structure"
Inaktiv,News-Stream,Sankt Augustin,"newsstreamproject.org, https://www.iais.fraunhofer.de/de/geschaeftsfelder/content-technologies-and-services/referenzprojekte/news-stream.html",@wearenewsstream,Project,"Technology, Organizational Structure"
@Michael_Gegg",Project,"Technology, Content"
Aktiv,ReadersClub,Hamburg,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/readers-club/, dumontnext.de",,Project,"Technology, Audience Relationship"
Aktiv,Reporterfabrik,Essen,https://www.reporterfabrik.org,@reporterfabrik,Project,Business Model
Aktiv,RiffReporter,Bremen,riffreporter.de,@riffreporter,Project,Content
Aktiv,Salonkolumnisten,Bremen,https://www.salonkolumnisten.com/,@Salonkolumnist,Project,"Content, Audience Relationship"
Aktiv,Storypepper,Hamburg,https://storypepper.com/,@cutnut_official,Project,Technology
Aktiv,Straßengezwitscher,Dresden,https://strassengezwitscher.de,@streetcoverage,Project,Content
Aktiv,Tagesspiegel Background,Berlin,https://background.tagesspiegel.de/,@tagesspiegel,Project,"Content, Business Model"
Aktiv,Tagesspiegel Leute,Berlin,https://newsinitiative.withgoogle.com/dnifund/report/telling-local-stories/tagesspiegel-leute-making-local-news-work/,@TspLeute,Project,"Content, Business Model"
Aktiv,The Master Graph,München,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/master-graph/, http://www.mediennetzwerk-bayern.de/16605/wissensgraph-die-quelle-der-wahrheit/, ippen-digital.de",@ID_gmbh,Project,Technology
Aktiv,Trend Recognition Module for the Listening Center,Düsseldorf,https://newsinitiative.withgoogle.com/dnifund/dni-projects/trend-recognition-module-listening-center/,@rpo_digitale,Project,Technology
Aktiv,Truly Media,Bonn,https://truly.media,@trulymedia,Project,"Technology, Audience Relationship"
Aktiv,Videovalis,Köln,https://www.videovalis.de/,@ReisenTV_VV,Project,"Technology, Business Model"
@Manu_Geitner",Project,"Content, Business Model"
Aktiv,Vocer,Hamburg,https://www.vocer.org,@voiceofvocer,Project,Funding
@Kleebart",Project,Technology
https://www.youtube.com/channel/UCLoWcRy-ZjA-Erh0p_VDLjQ",@Y_Kollektiv,Project,"Content, Organizational Structure"
