Status,Name,Ort,Webseite,Twitterhandle,Akteurstyp,Experimentierfelder
Aktiv,Ada,Düsseldorf,https://join-ada.com/,@join_ada,Spinoff,Content
Inaktiv,Bento,Hamburg,https://bento.de,@bento_de,Spinoff,Content
Aktiv,Business Insider Deutschland,Karlsruhe,www.businessinsider.de, @BIDeutschland ,Spinoff,Content
Aktiv,Business Punk,Hamburg,https://www.business-punk.com,@BusinessPunkMag,Spinoff,Content
Inaktiv,Byou,Berlin,https://byou.bild.de,@byou,Spinoff,"Content, Audience Relationship"
@gutearbeit",Spinoff,"Organizational Structure, Content"
Aktiv,Jetzt,München,http://jetzt.de,@jetzt,Spinoff,Content
Inaktiv,Noizz,Berlin,https://noizz.de,@noizzrs,Spinoff,"Content, Audience Relationship"
Aktiv,SMARTPAPER ONE,Essen,https://zeitungsdruck-online.de/smartpaper-one,,Spinoff,"Business Model, Technology"
Aktiv,Stern Crime,Hamburg,https://stern-crime.de,@DiGrazia_,Spinoff,Content
Aktiv,Upday,Berlin,https://upday.com,@updayDE,Spinoff,Technology
Aktiv,Ze.tt,Hamburg,https://ze.tt/,@zett,Spinoff,Content
