Name,Ort,Webseite,Twitter,Kurzbeschreibung,Experimentierfelder,Finanzierung
1plusX,Hamburg,https://www.1plusx.com/,@1plusX,Data Management & Predictive Analytics Platform (From data to predictions - Artificial intelligence for digital sales and marketing.),Technology,Misc. Capital
Ada,Düsseldorf,https://join-ada.com/,@join_ada,"Es soll euch nicht so gehen wie der britischen Mathematikerin Ada Lovelace: Sie programmierte schon früh im 19. Jahrhundert die erste Rechenmaschine der Welt und sagte Anwendungsmöglichkeiten der neuen Technologie voraus, die moderne Computer heute erfüllen. Mit ihren Ideen überraschte Ada ihre Zeitgenoss*innen so unvorbereitet, dass ihr Genie lange unverstanden blieb. Und damit blieben die Möglichkeiten, die aus ihrer Erfindung hätten entstehen können, vorerst ungenutzt.
Dazu haben wir ada gestartet, unsere gemeinsame Erkundungsreise in das digitale Leben und die Wirtschaft der Zukunft.
Wie werden wir im Jahr 2030 leben? Welche Rolle spielt Deutschland im Zeitalter der Künstlichen Intelligenz? Und welche Grenzen brauchen Algorithmen? Das sind nur einige der Fragen, auf die wir gemeinsam mit euch Antworten suchen. Finden wir diese Antworten, dann könnten wir unser Ziel erreichen: Gemeinsam mit euch und führenden Partner*innen aus der deutschen Wirtschaft das Land der Dichter*innen und Denker*innen zu einer Gesellschaft digitaler Pionier*innen zu transformieren. ada ist unabhängiger Journalismus, Inspirationsquelle und Bühne für alle, von deren Gedanken über die Welt von Morgen wir profitieren können. Wir sind zuversichtlich, aber nicht naiv. Prägnant, aber nicht pauschal. Wohlwollend, aber nicht unkritisch. Realistisch, aber nicht zynisch.",Content,Misc. Capital
Adloop,Köln,http://adloop.eu/,@ad_loop,Online-Marketing (We're workin' on a machine that boosts the performance of your eCommerce to fly at maximum altitude.),Technology,Venture Capital
AdSeen,Paderborn,http://www.adseen.de/,@adseen_de,Affiliate Netzwerk,Technology,Venture Capital
AKINGO,"Düsseldorf, Berlin","https://akingo.com, https://ianfs.com, 
https://newsinitiative.withgoogle.com/dnifund/dni-projects/akingo/",@ianflorian,"Increase news websites' profitability (ad revenues) and competitiveness (user experience) by increasing reader engagement (visit depth, visits, articles read, shares, ad clicks) through a reverse proxy that delivers personalized versions of news sites based on reader, content and context analytics.",Technology,Grant
Alexandru Nita,München,https://eventspace.es,@seadow,"Alexandru war in seiner beruflichen Laufbahn als Programmierer, Designer sowie im Marketing und Sales tätig. Sein Ziel dabei - eines Tages das eigene Unternehmen zu gründen. 2017 hat Alexandru alle Programme des Medialab Bayern durchlaufen und befindet sich 2018 mit seinem Projekt, EventSpace, im aktuell 4. Batch des Media Satartup Fellowships. Die Vision hinter EventSpace ist, mit Hilfe von K.I. und interaktiven online Formaten, den Austausch in Special-Interest Communities zu ermöglichen und Menschen darüber im echten Leben, abseits der online Welt zusammenzubringen. Zu Beginn startet EventSpace als Plattform für digitale Satellite Events, die dazu dienen sollen, im Rahmen großer Konferenzen und Messen Teilnehmer besser zu vernetzen.","Technology, Audience Relationship",Grant
Anna Alberts,Berlin,https://openbudgets.com,"@OpenBudgetsEU
@Anna_Alberts","The OpenBudgets project created a platform that citizens, activists and journalists can use to analyse financial data from public bodies.","Audience Relationship, Funding",
AX Semantics,Stuttgart,https://www.ax-semantics.com,@axsemantics,"We live and breathe content. We are fascinated by the technological possibilities that enable language generation.
Our goal is to help everyone to create high-quality, personalized and consistent content in all languages.",Technology,Venture Capital
Axel Springer Plug and Play Accelerator,Berlin,http://www.axelspringerplugandplay.com/,@as_pnp,"We are a joint venture between the Plug and Play Tech Center and Axel Springer SE. They support us in every way possible. It also means we are not bound to one region, one topic, one opinion. We offer a global network and international opportunities. We manage and invest into our portfolio of 100+ companies that went through the Axel Springer Plug and Play Accelerator.","Technology, Content, Audience Relationship, Funding",Misc. Capital
Bento,Hamburg,https://bento.de,@bento_de,"bento ist das junge Angebot von SPIEGEL ONLINE. bento zeigt, was 18- bis 30-Jährige wirklich interessiert, was uns betrifft und wie wir dazu stehen. Weil es News überall und zu viel gibt, wählen wir aus, was wichtig für uns ist. bento gibt es im Web, auf dem Handy, auf Facebook und Instagram. Du erreichst uns auf Facebook oder per E-Mail.",Content,Misc. Capital
Bohème,München,http://boheme.io/,,"With Boheme App you can read latest issue of your favourite Magazines and Newspapers. and the best is you can read all of them for free if you are in any of our partner locations like Cafés, Restaurants, Hotels and a lot more.","Technology, Business Model",Venture Capital
Business Insider Deutschland,Karlsruhe,www.businessinsider.de, @BIDeutschland ,"Business Insider ist ein aus New York, USA, stammendes Unternehmen, das Nachrichtenseiten im Internet betreibt. Neben der amerikanischen Seite betreibt es auch Ausgaben für Australien, Indien, Malaysia, Indonesien, Singapur, China, Großbritannien und Südafrika.",Content,Misc. Capital
Business News Platform,Düsseldorf,https://newsinitiative.withgoogle.com/dnifund/dni-projects/business-news-platform/,@handelsblatt,"Die Handelsblatt Media Group entwickelt mit dem Fördergeld einen Aggregator für Wirtschaftsnachrichten. Das Projekt mit dem Arbeitstitel 'Business News Platform' ist darauf ausgelegt, Nachrichten über Unternehmen und aus dem Finanzsektor zu bündeln und ihnen jeweils eine Tonalität zuzuordnen (positiv, negativ oder neutral). Die Analyse soll in Echtzeit erfolgen und für Geschäftskunden in einer App oder einem Browser-Dashboard bereitgestellt werden.",Technology,Grant
Business Punk,Hamburg,https://www.business-punk.com,@BusinessPunkMag,"BUSINESS PUNK ist das Business-Lifestyle-Magazin für alle, die etwas bewegen wollen. Es geht um das laute, schnelle Leben, das hinter dem Business tobt. Es portraitiert Querdenker und Rebellen der Wirtschaftswelt, berichtet über Ideen, Innovationen und Trends. Große Erfolgsstorys einer jungen Unternehmergeneration werden mit der Popkultur des digitalen Zeitalters gemischt. BUSINESS PUNK spricht damit junge Leser an, die im Internet zu Hause sind und ebenso lebens- wie erfolgshungrig sind.",Content,Misc. Capital
BuzzFeed Deutschland,Berlin,"https://www.buzzfeed.com/de/
https://www.buzzfeed.com/de/danieldrepper/buzzfeed-news-deutschland-transparenz-reporterinnen-reporter","@BuzzFeedGermany
@BuzzFeedNewsDE","BuzzFeed ist ein 2006 gegründetes amerikanisches Medienunternehmen mit Sitz im Flatiron District in New York City. Die Website buzzfeed.com ist mit 150 Millionen Besuchern pro Monat eines der beliebtesten Medienportale im englischsprachigen Raum. Die Form des dort praktizierten Journalismus stellt eine Mischung aus Blog, Nachrichtenticker und Online-Magazin dar. Die meisten Artikel sind reich an Bildern und Videos und werden als Listicles, also in Listen geführt.","Content, Audience Relationship",Misc. Capital
Byou,Berlin,https://byou.bild.de,@byou,"News über Stars, Styles, YouTube, Tech, Sport und alles, was online passiert","Content, Audience Relationship",Misc. Capital
C-POP,Berlin,"https://innovation.dpa.com/2019/03/21/story-driven-reader-c-pop-newsflow-agencies-publishers/, https://innovation.dpa.com/2019/03/21/agenturen-verlage-c-pop-kooperation/, https://dpa.com",@dpa,"In dem Projekt ""C-POP"" (Content Performance Optimization Program) geht es um die Entwicklung und Erprobung eines integrierten Nachrichten-Zyklus, bei dem die Nachrichtenagentur Teile ihres Inhalte-Angebots nach den vom Verlagspartner gemessenen Nutzungsdaten steuert. Das Projekt solle dabei helfen, ""aus untreuen Usern loyale Kunden zu machen"".",Technology,Grant
Camperstyle,,https://de.camperstyle.net/,@CamperStyleDE,"Unsere Mission? Wir wollen Camping und Lifestyle verbinden, Camping-Einsteigern all die Tipps geben, die wir uns als Anfänger gewünscht hätten, euch unsere besten Camping-Hacks verraten und euch mit aktuellen Infos von Camping-Messen und anderen Events versorgen. Kurz: Euch eine Plattform bieten, auf der ihr alles Wissenswerte rund um die Themen Caravan und Camping kompakt aufbereitet findet!","Content, Audience Relationship",Venture Capital
Campfire Festival,Düsseldorf,https://campfirefestival.org/,@campfire_fest,Festival für eine bessere Gesellschaft,Audience Relationship,Misc. Capital
Carline Mohr,Berlin,https://www.mohrenpost.de/,@Mohrenpost,"Carline Mohr ist 33 Jahre alt und lebt in Berlin. In den vergangen Jahren arbeitete sie in verschiedenen Führungspositionen in großen Medienhäusern. Zuletzt war sie Chefin vom Dienst bei Spiegel Online, zuständig für Audience Development. Bis 2016 leitete sie das Social-Media-Team bei bild.de, wo sie auch auch das Viralteam aufbaute. Im November hat sie als Senior Editor bei der Looping Group angefangen, ein Brand Publishing House, das der Ex-Stern-Chefredakteur Dominik Wichmann gegründet hat. Dort leitet sie die Plattform-Strategie. 2017 schrieb sie ihren ihren ersten Roman geschrieben, ""Küssen kostet extra"". Im Netz ist sie zu finden als @mohrenpost",Audience Relationship,Employed
CeleraOne,Berlin,http://www.celeraone.com/,@celeraone,"CeleraOne unterstützt Verlage. CeleraOne unterstützt Verlage bei der Entwicklung von Paid Content Angeboten, User Data Management (SSO) und Audience Development. ""Market leader for paywalls""",Technology,Misc. Capital
Christopher Weckwerth,Berlin,,@c_weckwerth,Social Media Monitoring dpa,Technology,Employed
Civey,Berlin,https://civey.com/,@civey_de,"Erfahren Sie, was Deutschland denkt! Wir ermöglichen repräsentative Umfragen im Internet. Dabei sehen erstmals alle die Ergebnisse. Kostenlos und in Echtzeit.","Technology, Content",Venture Capital
Cleverpush,Hamburg,https://cleverpush.com/de/,@cleverpush_com,CleverPush ist ein Tool für die Implementierung von Push Benachrichtigungen in die eigene Webseite oder App. Mit Push Nachrichten binden Sie Nutzer an Ihre Webseite und steigern so Ihre Werbeumsätze.,Technology,Venture Capital
CommunicationAds,Nürnberg,https://www.communicationads.net/,,Spezialisiertes Affiliate Netzwerk,Technology,Misc. Capital
Contentflow,Berlin,https://contentflow.net,@contentflowlive,"The all-in-one live streaming platform. Contentflow allows media teams to distribute live content to increase reach, engagement and revenue.",Technology,Venture Capital
Conversational News,Halle,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/conversational-news/, https://www.informatik.uni-halle.de/arbeitsgruppen/big_data_analytics/",@matthias_hagen,"Within this project, a prototype will be developed that brings written news articles from the web or print to smart speakers. A word processor component will enable journalists to semi-automatically adapt a text for a good user experience when read out by a smart speaker. A conversational smart speaker application will support an engaging news consumption with the possibility to ask for background information, etc.",Technology,Grant
