I/O,Name,Unternehmen,Ort,Webseite,Twitter-Account,Kurzbeschreibung,Projekte,Kommentar,Type of actor,Area of experimentation,Forms of funding
O,1plusX,,Hamburg,https://www.1plusx.com/,@1plusX,Data Management & Predictive Analytics Platform (From data to predictions - Artificial intelligence for digital sales and marketing.),,Jürgen Galler,Startup,Technology,Misc. Capital
O,Adloop,,Köln,http://adloop.eu/,@ad_loop,Online-Marketing (We're workin' on a machine that boosts the performance of your eCommerce to fly at maximum altitude.),,,Startup,Technology,Venture Capital
O,AdSeen,,Paderborn,http://www.adseen.de/,@adseen_de,Affiliate Netzwerk,,Alexander Zerr,Startup,Technology,Venture Capital
O,Bohème,,München,http://boheme.io/,,"With Boheme App you can read latest issue of your favourite Magazines and Newspapers. and the best is you can read all of them for free if you are in any of our partner locations like Cafés, Restaurants, Hotels and a lot more.",,Medialab Bayern,Startup,"Technology, Business Model",Venture Capital
O,Camperstyle,Camper Style GbR,,https://de.camperstyle.net/,@CamperStyleDE,"Unsere Mission? Wir wollen Camping und Lifestyle verbinden, Camping-Einsteigern all die Tipps geben, die wir uns als Anfänger gewünscht hätten, euch unsere besten Camping-Hacks verraten und euch mit aktuellen Infos von Camping-Messen und anderen Events versorgen. Kurz: Euch eine Plattform bieten, auf der ihr alles Wissenswerte rund um die Themen Caravan und Camping kompakt aufbereitet findet!",,Medialab Bayern,Startup,"Content, Audience Relationship",Venture Capital
O,CeleraOne,,Berlin,http://www.celeraone.com/,@celeraone,"CeleraOne unterstützt Verlage. CeleraOne unterstützt Verlage bei der Entwicklung von Paid Content Angeboten, User Data Management (SSO) und Audience Development. ""Market leader for paywalls""",,Axel-Springer,Startup,Technology,Misc. Capital
O,Civey,,Berlin,https://civey.com/,@civey_de,"Erfahren Sie, was Deutschland denkt! Wir ermöglichen repräsentative Umfragen im Internet. Dabei sehen erstmals alle die Ergebnisse. Kostenlos und in Echtzeit.",,,Startup,"Technology, Content",Venture Capital
O,Cleverpush,,Hamburg,https://cleverpush.com/de/,@cleverpush_com,CleverPush ist ein Tool für die Implementierung von Push Benachrichtigungen in die eigene Webseite oder App. Mit Push Nachrichten binden Sie Nutzer an Ihre Webseite und steigern so Ihre Werbeumsätze.,,"Resul Mert Capa, Marius Gebhardt",Startup,Technology,Venture Capital
O,CommunicationAds,,Nürnberg,https://www.communicationads.net/,,Spezialisiertes Affiliate Netzwerk,,,Startup,Technology,Misc. Capital
O,Contentflow,,Berlin,https://contentflow.net,@contentflowlive,"The all-in-one live streaming platform. Contentflow allows media teams to distribute live content to increase reach, engagement and revenue.",,Next Media Accelerator,Startup,Technology,Venture Capital
O,Datawrapper,,Bad Honnef,https://www.datawrapper.de/,@datawrapper,"Enrich your stories with charts, in seconds.",,"Deutsche Welle, Gregor Aisch, Mirko Lorenz, won the 2013 edition of Startups for News",Startup,"Technology, Content",Misc. Capital
O,Datenfreunde,,"Hamburg, Berlin",https://datenfreunde.com,@datenfreunde,Wir sind spezialisiert auf Audio-Analysen und innovative Nachrichtendistribution. Unseren Kunden bieten wir qualitativ hochwertige Services für einen markengerechten Auftritt auf Smart Speakern und Voice Assistants.,,"Marco Maas, Martin Virtel",Startup,"Technology, Content","Grant, Misc. Capital"
O,Der Kontext,,München,https://www.derkontext.com/,@DerKontext,"Das interaktive Hintergrundmagazin! Eintauchen. Entdecken. Verstehen. / Bei „Der Kontext“ gehst du auf eine spannende Entdeckungsreise durch komplexe Themen. Spielerisch, umfassend, mit Tiefgang.",,"Julia Köberlein, Bernhard Scholz, Medialab Bayern",Startup,Content,Venture Capital
O,Digidip,,Berlin,https://www.digidip.net,@digidip_net,The world's largest premium content and performance analytics network,,,Startup,Technology,Misc. Capital
O,Edition F,Edition F GmbH,Berlin,https://editionf.com,@editionf_com,"Das digitale Zuhause für Frauen, die sich in Job und Leben verwirklichen wollen. Und ihre Freunde.",,Teresa Bücker,Startup,"Content, Audience Relationship",Misc. Capital
O,Electric Elephant Publishing,,Hamburg,https://www.electricelephantpublishing.de/,@JorisZierold,"Electric Elephant Publishing arbeitet in einer Medienwelt, in der Print und digitale Formate um Nutzerrealitäten herum gestaltet werden. Unsere Inhalte entstehen aus der Interaktion und Kommunikation mit Usern, Unternehmen und Daten. Diese Medienwelt ist unser Atelier und alle, die mit uns in Austausch treten, werden Teil unserer Reise in die Zukunft der Medien.",,"Joris Zierold, Simon Berg, Body Kitchen",Startup,Content,Venture Capital
O,FactFox,,München,https://www.factfox.io/,@factfoxDE,"Mit automatisierten Antworten soll die Arbeit für Social-Media-Redakteure vereinfacht werden. Das Tool ""FactFox"" schlägt dem Redakteur ""passgenau ermittelte Antwortmöglichkeiten auf Nutzerkommentare vor und ermöglicht so ein schnelleres Beantworten"", sagt Gründerin Miriam Mogge. Durch die automatische Erfassung neuer Fakten im Redaktionsalltag soll die Antwortdatenbank weiter wachsen. Erprobt wurde das Tool bereits von der Nachrichtenagentur dpa, jetzt soll die App weiter ergänzt und an Medienhäuser verkauft werden.",,"Medialab Bayern, Gründer: Miriam Mogge und Sami Boussaid",Startup,Technology,Venture Capital
O,FanMatics,,Hamburg,https://fanmatics.com,@fanmatics,Convert with Social Rewards. Boost your signups with FanMatics. Let your audience unlock digital rewards through social interaction. Never mess with reward logistics ever again.,,"Next Media Accelerator, Facebook Local News Accelerator",Startup,Technology,"Venture Capital, Misc. Capital"
O,Helloguide,,Hamburg,https://helloguide.ai,@helloguide_ai,Engage Your Mobile Audience. Upload your content and get a ready-to-use chatbot.,,Next Media Accelerator,Startup,"Technology, Content","Venture Capital, Misc. Capital"
O,Hostwriter,,Berlin,hostwriter.org,@Hostwriter,Award-winning network that helps journalists to easily collaborate across borders.,,"Sandra Zistl, Tabea Grzeszyk, Tamara Anthony",Startup,"Technology, Audience Relationship",Misc. Capital
O,hyScore,hyscore.io GmbH,,https://www.hyscore.io,@hyscoreio,"hyScore, a Berlin-based company founded in May 2017, is an independent, cross-industry provider of innovative Natural Language Processing (NLP) solutions combined with Machine Learning (ML). With the flexible hyScore solutions, texts, websites, audios and videos can be analyzed in real time. The technology can be individually trained and adapted to special requirements.",,,Startup,Technology,Misc. Capital
O,Kerngedanke,,München,https://kerngedanke.com/,@krngdnk,"Bring more content to audiences everywhere in the most authentic way. Serve your existing customers better while winning new audiences. We help you with staying on top of things and focusing on what really matters: your time, your content and your audience.",,"Medialab Bayern, Mustafa K. Isik",Startup,Technology,Venture Capital
O,Kr3m,,Karlsruhe,https://kr3m.com,@kr3mmedia,"kr3m ist im deutschsprachigen Raum der Marktführer für Playful Business. Wir beliefern fast alle Verlage und Medienhäuser in Deutschland und der Schweiz mit Casual Games, z. B. den Spiegel, den Stern, die ZEIT, BILD, die Cosmopolitan, das Handelsblatt, die Neue Züricher Zeitung u. v. m. Dabei nutzen wir die Strategien der Spiele-Industrie für crossmediale Kampagnen, Kundenbindung und Personalschulung.",Rewardo,,Startup,Technology,Misc. Capital
O,Labiotech.eu,,Berlin,https://labiotech.eu,@Labiotech_eu,"Labiotech.eu is the leading digital media covering the European Biotech industry. Over 150,000 monthly visitors use it to keep an eye on the business and innovations in biotechnology. Hope you'll enjoy reading our stories!",,"Philipp Hemme, Joachim Eeckhout",Startup,"Content, Business Model",Misc. Capital
O,LinkLift,,Berlin,http://www.linklift.de/,@Linklift_DE,Marktplatz für Online-Werbung,,Patrick Paulisch,Startup,Technology,
O,Lokalpioniere,,Bielefeld,https://www.lokalpioniere.de/,,"Lokalpioniere. Das ist der Systemgeber für Ihre City-App. Mithilfe unserer digitalen Infrastruktur bestehend aus App und Webseite bauen Sie sich lokal eine zentrale Marke als Smart City auf. Die Vorteile unseres System liegen klar in der Hand: Jeder Bürger findet alle lokalen Informationen auf seinem Smartphone in der Hosentasche. Lokalpioniere liefert Ihnen dazu ein digitales Geschäftsmodell, das sich auf dem Markt erfolgreich bewiesen hat. Durch unsere Unterstützung kann beim Start Ihrer City-App nichts mehr schief gehen. Worauf warten Sie noch? Informieren Sie sich umfangreich über die Vorteile und Möglichkeiten unseres Systems und starten Sie durch!",,,Startup,"Audience Relationship, Business Model, Technology",
O,Lokalportal,,Hamburg,https://lokalportal.de/,@Lokalportal_DE,"Lokalportal ist die digitale Plattform für das lokale Leben. Hier erfährst du auf einen Blick, was in deiner Nähe passiert.",,,Startup,"Business Model, Audience Relationship","Misc. Capital, Venture Capital"
O,Luminovo,,München,https://luminovo.ai/,@luminovo,Lösen Sie Ihre Probleme mit Hilfe von Deep Learning. Wir beschleunigen Ihre repetitiven Arbeitsprozesse auf Basis von Bild und Text. Dabei vereinen wir die Stärken von menschlicher und künstlicher Intelligenz.,,Medialab Bayern,Startup,Technology,Venture Capital
O,MedWatch,,Hamburg / Karlsruhe,https://medwatch.de,@medwatch_de,"Das Team von MedWatch scannt das Netz nach gefährlichen und unseriösen Heilungsversprechen. Einen Schwerpunkt bilden Recherchen aus der Grauzone des Netzes, in der vermeintliche Heiler ihre Wunder anbieten.",,"Nicola Kuhrt, Hinnerk Feldwisch, Vocer Netzwende Award",Startup,Content,Misc. Capital
O,Merkurist,,Mainz,https://merkurist.de,"@Merkurist_biz, @Merkurist_Mainz","Merkurist ist die Lösung für Lokalblogs und -Nachrichtenseiten, die ein cleveres digitales Netzwerk bilden.",,"Sarah Heil, Jonathan Schulz",Startup,"Content, Audience Relationship","Venture Capital, Misc. Capital"
O,MessengerPeople,,München,https://messengerpeople.com,@MessengerPeople,"MessengerPeople enables Marketing Automation, Customer Service and Chatbots via Instant Messenger like WhatsApp, Apple Business Chat and Facebook Messenger.",,"Hightech-Gründerfonds, WhatsBroadcast",Startup,"Technology, Audience Relationship","Venture Capital, Misc. Capital"
O,Moviepilot,,Berlin,https://www.moviepilot.de/,@moviepilot,Film-Portal und -Ratgeber,,Tobias Bauckhage,Startup,Content,
O,Multicast Media,Multicast Media GmbH,Potsdam,https://www.multicast-media.com/,,Award-winning speech to text audio processing.,,,Startup,Content,
O,Narando,,Löhne,https://www.narando.com/,@narandoapp,Plattform zum Abspielen von digitalen Medien,,,Startup,Technology,
O,Nebenan.de,Good Hood GmbH,Berlin,https://nebenan.de,@nebenan_DE,"Das Netzwerk für echte Gemeinschaft. [...] Seit der Gründung von nebenan.de im Jahr 2015 ist nebenan.de kontinuierlich gewachsen, verzeichnet 2019 über 1,2 Mio. Nutzer und beschäftigt derzeit rund 70 Mitarbeiter. Die Nachbarschafsplattform nebenan.de wird von der Good Hood GmbH mit Sitz in Berlin betrieben. nebenan.de wurde 2015 gegründet, um der zunehmenden Anonymität in der Gesellschaft entgegenzuwirken und Nachbarn auf digitalem Weg zu mehr echter lokaler Gemeinschaft zu verhelfen.",,"Series A Startup, 3 Finanzierungsrunden, 21M+ Finanzierungssumme von Risikokapitalgebern, Angel-Investoren (siehe Crunchbase",Startup,"Business Model, Funding, Audience Relationship","Public funding, Crowdfunding, Venture Capital, Grant"
O,Neeeu,,Berlin,https://neeeu.io/,@neeeu_io,Neeeu is an independent design & innovation studio. We specialise in the creation of unique spatial experiences. Join us where digital & physical realities meet,,,Startup,Content,Misc. Capital
